策略,days,plan_grid_kwh,final_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,settlement_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals,soc_min_kwh,soc_max_kwh,soc_bottom_hits,soc_top_hits,total_lp_solve_seconds
Fixed q=0.8,334,22995583.33306501,22995583.33306501,6079566.920459666,4924449.20557233,565075.5253917525,4466351.648602761,14095548.002309406,14095548.002309406,3413016.240063456,17508564.242372863,1775,1200.0,10800.0,1591,17371,2.0392274000059842
Adaptive q_d,334,23455835.38402664,23455835.38402664,5975025.129056671,4839770.354535904,492878.823374555,4874269.937913757,14429834.070962423,14429834.070962423,3009105.44543456,17438939.516396984,1552,1200.0,10800.0,1377,18081,2.039525099992261
