quantile,calibration_days,calibration_plan_grid_kwh,calibration_emergency_kwh,calibration_spill_kwh,calibration_plan_cost_yuan,calibration_emergency_cost_yuan,calibration_total_cost_yuan,calibration_emergency_intervals,calibration_soc_min_kwh,calibration_soc_max_kwh,holdout_days,holdout_plan_grid_kwh,holdout_emergency_kwh,holdout_spill_kwh,holdout_plan_cost_yuan,holdout_emergency_cost_yuan,holdout_total_cost_yuan,holdout_emergency_intervals,holdout_soc_min_kwh,holdout_soc_max_kwh,full_evaluation_days,full_evaluation_plan_grid_kwh,full_evaluation_emergency_kwh,full_evaluation_spill_kwh,full_evaluation_plan_cost_yuan,full_evaluation_emergency_cost_yuan,full_evaluation_total_cost_yuan,full_evaluation_emergency_intervals,full_evaluation_soc_min_kwh,full_evaluation_soc_max_kwh
0.76,150,9359305.371105395,353672.9843491531,1787013.0893696146,5616017.348084629,1420182.8255666816,7036200.173651311,2719,8458.747659697707,10800.0,184,13096046.754546879,389003.228059076,2271897.807803501,8112850.298602871,1594887.4621212583,9707737.760724127,3250,9612.692193203704,10800.0,334,22455352.125652272,742676.2124082291,4058910.897173116,13728867.6466875,3015070.2876879405,16743937.934375439,5969,8458.747659697707,10800.0
0.78,150,9468313.382261485,332869.5129001667,1879509.2423101715,5687804.75756726,1339197.7904944308,7027002.548061689,2570,8781.006170198852,10800.0,184,13234785.21794167,364584.5314102311,2391479.5235629478,8207825.139950478,1498221.6653168553,9706046.805267334,3066,9773.852681264629,10800.0,334,22703098.600203156,697454.0443103977,4270988.765873119,13895629.897517737,2837419.4558112863,16733049.353329025,5636,8781.006170198852,10800.0
0.8,150,9598879.707512591,307403.2547576394,1989952.8155961868,5775439.795856601,1232696.4514354488,7008136.247292049,2404,9240.763232448153,10800.0,184,13396720.216429349,337128.9412102945,2532226.5765177268,8320233.461397005,1386574.0185930675,9706807.479990073,2871,9937.289556,10800.0,334,22995599.92394194,644532.195967934,4522179.392113914,14095673.257253604,2619270.470028516,16714943.727282122,5275,9240.763232448153,10800.0
0.82,150,9740824.585228246,281570.71063121065,2112161.3388521057,5871851.335467884,1128566.6657024252,7000418.001170309,2220,9357.056475509999,10800.0,184,13573995.66262153,308530.04084260215,2688307.0854415037,8444682.894982558,1275381.0172545374,9720063.912237095,2667,9985.060798515,10800.0,334,23314820.247849777,590100.7514738127,4800468.42429361,14316534.230450444,2403947.682956963,16720481.913407404,4887,9357.056475509999,10800.0
0.84,150,9913185.843325939,253632.6552023387,2263957.505777886,5991172.061864562,1015568.7167072265,7006740.778571788,2015,9415.84901412,10800.0,184,13793242.090758335,277578.5672219874,2886479.4361587157,8601157.590864517,1147917.877602507,9749075.468467023,2417,10018.937848380001,10800.0,334,23706427.934084274,531211.2224243261,5150436.941936602,14592329.65272908,2163486.5943097332,16755816.247038813,4432,9415.84901412,10800.0
